time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-10-29T20:09:28.589470+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:28.735759+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:28.881981+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:28.979349+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:29.125694+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:29.223220+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:29.369340+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:29.466962+00:00,"[188, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0]","[1.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00000101', '', '', '', '', '']"
2025-10-29T20:09:29.613297+00:00,"[128, 188, 0, 0, 0, 0]","[44, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:29.759545+00:00,"[128, 188, 0, 0, 0, 0]","[43, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:29.856915+00:00,"[128, 188, 0, 0, 0, 0]","[41, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.003264+00:00,"[128, 188, 0, 0, 0, 0]","[39, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.100767+00:00,"[128, 188, 0, 0, 0, 0]","[38, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.295658+00:00,"[128, 188, 0, 0, 0, 0]","[36, 80, 0, 0, 0, 0]","[13.0, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110100', '00000101', '', '', '', '']"
2025-10-29T20:09:30.393287+00:00,"[128, 188, 0, 0, 0, 0]","[34, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.490783+00:00,"[128, 188, 0, 0, 0, 0]","[33, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.588295+00:00,"[128, 188, 0, 0, 0, 0]","[31, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.734555+00:00,"[128, 188, 0, 0, 0, 0]","[29, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:30.880669+00:00,"[128, 188, 0, 0, 0, 0]","[27, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:31.027043+00:00,"[128, 188, 0, 0, 0, 0]","[25, 80, 0, 0, 0, 0]","[12.75, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110011', '00000101', '', '', '', '']"
2025-10-29T20:09:31.124521+00:00,"[128, 188, 0, 0, 0, 0]","[24, 80, 0, 0, 0, 0]","[12.5, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110010', '00000101', '', '', '', '']"
2025-10-29T20:09:31.270669+00:00,"[128, 188, 0, 0, 0, 0]","[22, 80, 0, 0, 0, 0]","[12.5, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110010', '00000101', '', '', '', '']"
2025-10-29T20:09:31.368283+00:00,"[128, 188, 0, 0, 0, 0]","[21, 80, 0, 0, 0, 0]","[12.5, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110010', '00000101', '', '', '', '']"
2025-10-29T20:09:31.465915+00:00,"[128, 188, 0, 0, 0, 0]","[20, 80, 0, 0, 0, 0]","[12.5, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110010', '00000101', '', '', '', '']"
2025-10-29T20:09:31.660904+00:00,"[128, 188, 0, 0, 0, 0]","[18, 80, 0, 0, 0, 0]","[12.5, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110010', '00000101', '', '', '', '']"
2025-10-29T20:09:31.807166+00:00,"[128, 188, 0, 0, 0, 0]","[17, 80, 0, 0, 0, 0]","[12.25, 1.25, 0.0, 0.0, 0.0, 0.0]","['00110001', '00000101', '', '', '', '']"
2025-10-29T20:09:31.904478+00:00,"[128, 188, 132, 0, 0, 0]","[16, 80, 90, 0, 0, 0]","[12.25, 1.25, 10.75, 0.0, 0.0, 0.0]","['00110001', '00000101', '00101011', '', '', '']"
2025-10-29T20:09:32.002098+00:00,"[128, 188, 132, 0, 0, 0]","[15, 80, 89, 0, 0, 0]","[12.0, 1.25, 10.75, 0.0, 0.0, 0.0]","['00110000', '00000101', '00101011', '', '', '']"
2025-10-29T20:09:32.148336+00:00,"[128, 188, 132, 0, 0, 0]","[14, 80, 88, 0, 0, 0]","[12.0, 1.25, 10.75, 0.0, 0.0, 0.0]","['00110000', '00000101', '00101011', '', '', '']"
2025-10-29T20:09:32.245719+00:00,"[128, 188, 132, 0, 0, 0]","[13, 80, 86, 0, 0, 0]","[11.75, 1.25, 10.75, 0.0, 0.0, 0.0]","['00101111', '00000101', '00101011', '', '', '']"
2025-10-29T20:09:32.343343+00:00,"[128, 188, 132, 0, 0, 0]","[12, 80, 85, 0, 0, 0]","[11.75, 1.25, 10.75, 0.0, 0.0, 0.0]","['00101111', '00000101', '00101011', '', '', '']"
2025-10-29T20:09:32.489633+00:00,"[128, 188, 132, 0, 0, 0]","[11, 80, 84, 0, 0, 0]","[11.75, 1.25, 10.75, 0.0, 0.0, 0.0]","['00101111', '00000101', '00101011', '', '', '']"
2025-10-29T20:09:32.587070+00:00,"[128, 132, 0, 0, 0, 0]","[9, 82, 0, 0, 0, 0]","[11.75, 10.75, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101011', '', '', '', '']"
2025-10-29T20:09:32.733334+00:00,"[128, 132, 0, 0, 0, 0]","[7, 81, 0, 0, 0, 0]","[11.75, 10.75, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101011', '', '', '', '']"
2025-10-29T20:09:32.879444+00:00,"[128, 132, 0, 0, 0, 0]","[6, 79, 0, 0, 0, 0]","[11.75, 10.75, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101011', '', '', '', '']"
2025-10-29T20:09:32.976992+00:00,"[128, 132, 0, 0, 0, 0]","[5, 78, 0, 0, 0, 0]","[11.75, 10.75, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101011', '', '', '', '']"
2025-10-29T20:09:33.123184+00:00,"[128, 132, 0, 0, 0, 0]","[3, 76, 0, 0, 0, 0]","[11.75, 10.5, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101010', '', '', '', '']"
2025-10-29T20:09:33.220810+00:00,"[128, 132, 0, 0, 0, 0]","[2, 74, 0, 0, 0, 0]","[11.75, 10.25, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101001', '', '', '', '']"
2025-10-29T20:09:33.367190+00:00,"[128, 132, 0, 0, 0, 0]","[0, 72, 0, 0, 0, 0]","[11.75, 10.0, 0.0, 0.0, 0.0, 0.0]","['00101111', '00101000', '', '', '', '']"
2025-10-29T20:09:33.464525+00:00,"[132, 0, 0, 0, 0, 0]","[70, 0, 0, 0, 0, 0]","[9.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00100111', '', '', '', '', '']"
